quality_pre,quality_post,quantity_pre,quantity_post,score_pre,score_post,improvement,improvement_percent
62.568,65.20400000000001,40.0,42.5,102.568,107.70400000000001,5.13600000000001,5.006921562128341
62.032,69.024,37.5,35.0,99.532,104.024,4.492000000000004,4.512668019529449
59.668,62.168,37.5,35.0,97.168,97.168,0.0,0.0
63.396,67.132,42.5,37.5,105.896,104.632,-1.2639999999999958,-1.193511226937091
61.96,69.368,35.0,37.5,96.96000000000001,106.868,9.907999999999987,10.21759307002164
59.772,70.536,45.0,42.5,104.77199999999999,113.036,8.26400000000001,7.886850794983881
62.676,65.64,37.5,35.0,100.176,100.64,0.46399999999999864,0.46313856227416866
59.532,62.252,37.5,42.5,97.032,104.75200000000001,7.720000000000013,7.95531831578081
65.292,66.432,37.5,42.5,102.792,108.932,6.140000000000001,5.972646446567187
62.168,67.25200000000001,35.0,40.0,97.168,107.25200000000001,10.084000000000003,10.376834262899012
63.716,63.724000000000004,40.0,40.0,103.71600000000001,103.724,0.007999999999995566,0.0077126274993690735
68.71600000000001,68.44800000000001,37.5,45.0,106.21600000000001,113.44800000000001,7.231999999999999,6.808126070830116
69.108,63.848,42.5,40.0,111.608,103.848,-7.760000000000005,-6.952283681843434
69.532,71.824,42.5,47.5,112.032,119.324,7.292000000000002,6.5082736830831305
64.448,64.27199999999999,40.0,42.5,104.448,106.77199999999999,2.323999999999998,2.224817630052268
63.396,61.608000000000004,37.5,35.0,100.896,96.608,-4.287999999999997,-4.2494995342199635
63.932,64.83600000000001,37.5,45.0,101.432,109.83600000000001,8.40400000000001,8.28453697679463
71.432,67.724,35.0,35.0,106.432,102.724,-3.7079999999999984,-3.483587305762761
64.108,70.292,37.5,37.5,101.608,107.792,6.1839999999999975,6.0855360270818135
60.92,65.996,42.5,40.0,103.42,105.996,2.5759999999999934,2.4905733346224435
74.116,70.904,37.5,45.0,111.616,115.904,4.287999999999997,3.8413989572321827
61.068000000000005,65.292,45.0,47.5,106.06800000000001,112.792,6.7239999999999895,6.338731876543664
66.77199999999999,66.77199999999999,40.0,37.5,106.77199999999999,104.27199999999999,-2.5,-2.341218557434774
64.77199999999999,68.036,37.5,37.5,102.27199999999999,105.536,3.26400000000001,3.191177333255128
66.46000000000001,71.076,40.0,42.5,106.46000000000001,113.576,7.1159999999999854,6.683572837418977
71.348,69.27199999999999,37.5,37.5,108.848,106.77199999999999,-2.0760000000000076,-1.907071597861441
62.032,70.216,37.5,40.0,99.532,110.216,10.683999999999997,10.733157863012593
60.012,60.260000000000005,40.0,37.5,100.012,97.76,-2.2519999999999953,-2.2515046689728213
67.476,61.772,37.5,40.0,104.976,101.77199999999999,-3.2040000000000077,-3.051835482826289
64.108,66.48400000000001,45.0,37.5,109.108,103.98400000000001,-5.123999999999995,-4.6958338679227944
63.932,74.632,42.5,42.5,106.432,117.132,10.700000000000003,10.052422915766334
64.46000000000001,67.93199999999999,40.0,42.5,104.46000000000001,110.43199999999999,5.97199999999998,5.716473628792935
70.116,69.324,37.5,37.5,107.616,106.824,-0.7920000000000016,-0.7358816642818664
61.96,63.035999999999994,45.0,37.5,106.96000000000001,100.536,-6.424000000000007,-6.005422080957283
74.72399999999999,74.32,40.0,35.0,114.72399999999999,109.32,-5.403999999999996,-4.710024927222965
63.92,67.604,37.5,40.0,101.42,107.604,6.1839999999999975,6.096815537809324
62.876000000000005,60.260000000000005,45.0,42.5,107.876,102.76,-5.116,-4.742042526370427
61.468,64.98,37.5,42.5,98.968,107.48,8.512,8.599890884843097
66.96000000000001,70.224,37.5,40.0,104.46000000000001,110.224,5.763999999999996,5.517373408634054
69.356,66.856,45.0,40.0,114.356,106.856,-7.5,-6.557893080111222
63.019999999999996,65.68,37.5,40.0,100.52,105.68,5.160000000000011,5.132796180244714
66.484,63.876000000000005,40.0,37.5,106.484,101.376,-5.10799999999999,-4.796514357616382
59.46,67.828,37.5,37.5,96.96000000000001,105.328,8.367999999999995,8.629473032896765
61.94799999999999,66.524,37.5,37.5,99.448,104.024,4.576000000000008,4.600937078968014
61.608000000000004,65.276,37.5,37.5,99.108,102.776,3.667999999999992,3.70063964163925
69.668,74.632,40.0,37.5,109.668,112.132,2.4639999999999986,2.2465763416546602
61.772,64.27199999999999,40.0,47.5,101.77199999999999,111.77199999999999,10.0,9.824919926902597
64.668,60.18,37.5,47.5,102.168,107.68,5.5120000000000005,5.394507623950361
67.93199999999999,62.828,42.5,40.0,110.43199999999999,102.828,-7.603999999999985,-6.88506184241501
61.94799999999999,67.568,37.5,37.5,99.448,105.068,5.6200000000000045,5.650626395061236
64.356,71.77199999999999,37.5,40.0,101.856,111.77199999999999,9.915999999999997,9.73435690024149
64.024,69.452,37.5,37.5,101.524,106.952,5.427999999999997,5.345992475426947
66.608,64.356,37.5,37.5,104.108,101.856,-2.2520000000000095,-2.162930521139485
66.608,68.932,45.0,42.5,111.608,111.432,-0.17600000000000193,-0.15768066082531662
66.332,66.064,40.0,42.5,106.332,108.564,2.2319999999999993,2.0988884918470587
